project_id,g_code,s_code,description,month,year,boq,budget,cost_saving,purchase_cost,pr_pending,budget_balance_pu,actual_cost_ac,unbook,actual_cost_all,budget_balance_ac,purchase_balance,forecast,to_be_order,variance_budget,finance_cost,finance_balance,cost_variance_pct,purchase_efficiency,risk_high_variance,risk_forecast_overrun
PRJ001,G004,,งานระบบไฟฟ้าและแสงสว่าง,1,2024,7420825.49,6922370,466716.57,6766582.98,894559.89,155787.02,4212897.61,363294.84,4576192.45,2346177.55,2190390.53,5135994.45,155787.02,-2346177.55,156250.79,6766119.21,-33.892692098226476,0.6762929625670533,1,0
PRJ001,G004,,งานระบบไฟฟ้าและแสงสว่าง,2,2024,2222197.48,2187246,17398.87,1860825.93,212300.35,326420.07,1486794.53,124727.25,1611521.78,575724.22,249304.15,1883462.8,326420.07,-575724.22,63423.04,2123822.96,-26.32187783175738,0.8660250021344017,1,0
PRJ001,G004,,งานระบบไฟฟ้าและแสงสว่าง,3,2024,3853463.87,3738288,-129182.44,3589491.26,270144.3,148796.74,2985450.37,286753.71,3272204.08,466083.92,317287.17,4030157.66,148796.74,-466083.92,153916.55,3584371.45,-12.467844104039068,0.9116066436668243,0,0
PRJ001,G004,,งานระบบไฟฟ้าและแสงสว่าง,4,2024,5035776.38,5125716,-3664.19,3997470.37,379267.32,1128245.63,2454104.64,181107.28,2635211.92,2490504.08,1362258.45,3392527.42,1128245.63,-2490504.08,129968.11,4995747.89,-48.588413404098084,0.6592198755934744,1,0
PRJ001,G004,,งานระบบไฟฟ้าและแสงสว่าง,5,2024,13118004.19,12010757,-523912.91,12634526.06,888948.94,-623769.06,9525841.92,733214.16,10259056.08,1751700.92,2375469.98,12346940.98,0.0,-1751700.92,481638.33,11529118.67,-14.584433937011628,0.8119858260832935,0,0
PRJ001,G004,,งานระบบไฟฟ้าและแสงสว่าง,6,2024,4029425.21,4200834,76199.93,3616264.7,372002.31,584569.3,2821378.92,199558.82,3020937.75,1179896.25,595326.96,3428071.49,584569.3,-1179896.25,139275.99,4061558.01,-28.087190543592055,0.8353751731724727,1,0
PRJ001,G004,,งานระบบไฟฟ้าและแสงสว่าง,7,2024,12229008.1,12037720,919285.72,9997321.54,1446138.95,2040398.46,7979402.29,406646.52,8386048.81,3651671.19,1611272.73,9471715.35,2040398.46,-3651671.19,295434.38,11742285.62,-30.335239480566084,0.8388295581418301,1,0
PRJ001,G004,,งานระบบไฟฟ้าและแสงสว่าง,8,2024,14539668.5,13370894,1239634.58,10342925.18,1186174.09,3027968.82,8164744.06,444495.73,8609239.8,4761654.2,1733685.39,10191529.18,3027968.82,-4761654.2,172748.42,13198145.58,-35.61208547461374,0.8323795879958208,1,0
PRJ001,G004,,งานระบบไฟฟ้าและแสงสว่าง,9,2024,5835590.3,5769279,333953.86,6079800.76,537988.47,-310521.76,3848839.8,346358.84,4195198.64,1574080.36,1884602.12,4955489.88,0.0,-1574080.36,100571.29,5668707.71,-27.28383148050216,0.6900223881678649,1,0
PRJ001,G004,,งานระบบไฟฟ้าและแสงสว่าง,10,2024,19485043.3,19796726,-593499.27,13990291.47,1573768.5,5806434.53,10309261.72,843092.78,11152354.5,8644371.5,2837936.97,14061924.97,5806434.53,-8644371.5,555699.1,19241026.9,-43.665662190808725,0.7971495464490133,1,0
PRJ001,G004,,งานระบบไฟฟ้าและแสงสว่าง,11,2024,10924934.31,10877247,-86021.02,8564056.98,1115955.39,2313190.02,6118552.46,505074.49,6623626.96,4253620.04,1940430.02,8136364.03,2313190.02,-4253620.04,198842.85,10678404.15,-39.10566745427405,0.7734216359686107,1,0
PRJ001,G004,,งานระบบไฟฟ้าและแสงสว่าง,12,2024,17025715.94,18258899,1551979.74,13374446.25,683370.04,4884452.75,11019388.17,997533.67,12016921.84,6241977.16,1357524.41,15454834.37,4884452.75,-6241977.16,291748.33,17967150.67,-34.18594494662575,0.8984986455046691,1,0
PRJ001,G005,,งานระบบประปาและสุขาภิบาล,1,2024,13118512.21,14547176,-258322.29,13654972.99,1482338.64,892203.01,12038721.03,695964.54,12734685.57,1812490.43,920287.42,14575685.32,892203.01,-1812490.43,393845.06,14153330.94,-12.459397136598884,0.9326042299260527,0,0
PRJ001,G005,,งานระบบประปาและสุขาภิบาล,2,2024,9842468.33,10934207,387961.32,9425588.44,1240749.02,1508618.56,7646648.01,477887.05,8124535.06,2809671.94,1301053.39,9549127.64,1508618.56,-2809671.94,347984.82,10586222.18,-25.69616562042405,0.861965819080469,1,0
PRJ001,G005,,งานระบบประปาและสุขาภิบาล,3,2024,12479130.35,11853056,-161883.62,9806009.89,1318380.43,2047046.11,8505921.07,556431.28,9062352.35,2790703.65,743657.53,10606451.36,2047046.11,-2790703.65,241685.48,11611370.52,-23.544169959207142,0.9241630848487752,1,0
PRJ001,G005,,งานระบบประปาและสุขาภิบาล,4,2024,11581494.58,10584639,266572.27,7744395.88,799832.28,2840243.12,5668004.3,387469.52,6055473.82,4529165.18,1688922.07,7801424.87,2840243.12,-4529165.18,244581.13,10340057.87,-42.78998253979186,0.7819168743217709,1,0
PRJ001,G005,,งานระบบประปาและสุขาภิบาล,5,2024,15276594.96,15425390,1142409.9,12475915.17,1718159.45,2949474.83,9394441.96,538710.27,9933152.23,5492237.77,2542762.93,11626314.0,2949474.83,-5492237.77,412280.34,15013109.66,-35.60517931799455,0.7961862592562018,1,0
PRJ001,G005,,งานระบบประปาและสุขาภิบาล,6,2024,18453917.74,18723964,-237505.01,15873717.42,2284339.31,2850246.58,11429389.63,658487.23,12087876.86,6636087.14,3785840.56,13774342.42,2850246.58,-6636087.14,287875.13,18436088.87,-35.441678588999636,0.7615025856999286,1,0
PRJ001,G005,,งานระบบประปาและสุขาภิบาล,7,2024,15030591.77,14789590,155066.24,13095251.46,1670250.65,1694338.54,11668481.92,821316.8,12489798.72,2299791.28,605452.74,15200852.35,1694338.54,-2299791.28,298261.8,14491328.2,-15.550067851779529,0.953765474313389,0,0
PRJ001,G005,,งานระบบประปาและสุขาภิบาล,8,2024,18349778.72,18260540,1737829.89,19029816.1,2219974.81,-769276.1,12412271.34,1085139.54,13497410.88,4763129.12,5532405.21,17415212.18,0.0,-4763129.12,345261.85,17915278.15,-26.08427308283326,0.7092770003174124,1,0
PRJ001,G005,,งานระบบประปาและสุขาภิบาล,9,2024,8898208.8,8191426,-205868.27,7079780.57,792852.31,1111645.43,4271400.76,302618.68,4574019.44,3617406.56,2505761.13,5097901.51,1111645.43,-3617406.56,153738.04,8037687.96,-44.160889202929994,0.6460679670471765,1,0
PRJ001,G005,,งานระบบประปาและสุขาภิบาล,10,2024,14611115.73,15696295,-368264.79,16591236.99,1454977.39,-894941.99,14858780.32,1418033.69,16276814.01,-580519.01,314422.98,20990524.1,0.0,580519.01,646500.87,15049794.13,3.6984460982671394,0.9810488524641344,0,1
PRJ001,G005,,งานระบบประปาและสุขาภิบาล,11,2024,10218507.07,10319765,-182655.34,10325938.87,1275050.91,-6173.87,8875644.17,621213.99,9496858.16,822906.84,829080.7,11424279.49,0.0,-822906.84,392253.17,9927511.83,-7.974085068797593,0.9197089271554055,0,1
PRJ001,G005,,งานระบบประปาและสุขาภิบาล,12,2024,8892413.18,8284445,48259.72,8387135.52,429721.01,-102690.52,5337786.2,334894.56,5672680.76,2611764.24,2714454.77,6435845.31,0.0,-2611764.24,202501.77,8081943.23,-31.52612202748645,0.6763549660635506,1,0
PRJ001,G006,,งานสถาปัตยกรรมและตกแต่ง,1,2024,9570787.16,10437888,879725.25,10701333.9,637420.29,-263445.9,7063336.47,539596.6,7602933.07,2834954.93,3098400.84,8651528.67,0.0,-2834954.93,326417.29,10111470.71,-27.160235193173182,0.7104659233182137,1,0
PRJ001,G006,,งานสถาปัตยกรรมและตกแต่ง,2,2024,6765380.71,6229694,64587.23,4433874.97,619325.79,1795819.03,3045530.54,159840.15,3205370.7,3024323.3,1228504.27,4153448.02,1795819.03,-3024323.3,131265.87,6098428.13,-48.54689973536421,0.7229276246371017,1,0
PRJ001,G006,,งานสถาปัตยกรรมและตกแต่ง,3,2024,6279788.46,6925592,526423.71,6854609.39,989733.66,70982.61,6079868.59,396699.16,6476567.75,449024.25,378041.63,7968850.9,70982.61,-449024.25,173603.53,6751988.47,-6.483550431501019,0.9448485510273548,0,1
PRJ001,G006,,งานสถาปัตยกรรมและตกแต่ง,4,2024,10735338.79,11537654,688375.42,10679358.67,766486.57,858295.33,6786333.37,408579.77,7194913.14,4342740.86,3484445.53,9082178.28,858295.33,-4342740.86,250895.14,11286758.86,-37.63972173199162,0.6737214623394608,1,0
PRJ001,G006,,งานสถาปัตยกรรมและตกแต่ง,5,2024,18789462.57,17773177,-535696.19,16645907.75,1731417.75,1127269.25,13205668.24,1210182.79,14415851.04,3357325.96,2230056.71,16963836.66,1127269.25,-3357325.96,357413.16,17415763.84,-18.88984709936777,0.8660297327431722,0,0
PRJ001,G006,,งานสถาปัตยกรรมและตกแต่ง,6,2024,6978442.09,6544354,-35812.53,4610776.25,516907.08,1933577.75,3747760.14,215745.75,3963505.89,2580848.11,647270.37,4770943.53,1933577.75,-2580848.11,107038.31,6437315.69,-39.43625467082006,0.8596179200844978,1,0
PRJ001,G006,,งานสถาปัตยกรรมและตกแต่ง,7,2024,3286177.77,3039524,108006.92,2716701.34,251736.65,322822.66,2126061.57,191388.02,2317449.59,722074.41,399251.75,2837663.84,322822.66,-722074.41,64495.93,2975028.07,-23.756167413055465,0.8530380413475999,1,0
PRJ001,G006,,งานสถาปัตยกรรมและตกแต่ง,8,2024,15904903.64,15444548,-482405.0,16604078.96,2391261.46,-1159530.96,14083331.62,1088077.52,15171409.13,273138.87,1432669.83,19640242.26,0.0,-273138.87,675031.09,14769516.91,-1.7685131996093377,0.9137157903517944,0,1
PRJ001,G006,,งานสถาปัตยกรรมและตกแต่ง,9,2024,14749408.63,14415863,149128.29,10850581.3,547209.83,3565281.7,8052839.44,549403.1,8602242.54,5813620.46,2248338.77,10542818.21,3565281.7,-5813620.46,172761.8,14243101.2,-40.32793915979917,0.7927909392282972,1,0
PRJ001,G006,,งานสถาปัตยกรรมและตกแต่ง,10,2024,16171561.47,15725109,-549189.9,14317348.64,1534635.01,1407760.36,12791852.68,737408.86,13529261.54,2195847.46,788087.11,16950761.13,1407760.36,-2195847.46,642106.3,15083002.7,-13.963957006593722,0.9449557931558478,0,0
PRJ001,G006,,งานสถาปัตยกรรมและตกแต่ง,11,2024,11098895.48,11743525,909372.97,8252069.62,617179.56,3491455.38,7276781.89,542394.05,7819175.94,3924349.06,432893.69,8789560.66,3491455.38,-3924349.06,194705.33,11548819.67,-33.41713037610087,0.9475411987617235,1,0
PRJ001,G006,,งานสถาปัตยกรรมและตกแต่ง,12,2024,4164928.64,4434125,215042.95,3959073.9,442890.83,475051.1,3385507.29,185683.76,3571191.05,862933.95,387882.85,3965328.98,475051.1,-862933.95,123940.9,4310184.1,-19.46120034956164,0.9020268730017896,0,0
PRJ001,G007,,งานระบบความปลอดภัย,1,2024,8406083.17,7689431,-299955.57,8429398.31,716171.67,-739967.31,5628534.52,305674.73,5934209.25,1755221.75,2495189.06,7210774.84,0.0,-1755221.75,236758.49,7452672.51,-22.826419145968018,0.7039896599689806,1,0
PRJ001,G007,,งานระบบความปลอดภัย,2,2024,6495169.94,6919507,375393.42,7150136.9,889627.79,-230629.9,5542418.57,477266.95,6019685.51,899821.49,1130451.39,7332923.6,0.0,-899821.49,213512.78,6705994.22,-13.004127172643948,0.8418979376464805,0,0
PRJ001,G007,,งานระบบความปลอดภัย,3,2024,17596399.9,17422350,-765760.77,14274270.63,976143.84,3148079.37,9823224.22,980508.31,10803732.53,6618617.47,3470538.1,12478444.34,3148079.37,-6618617.47,361456.36,17060893.64,-37.9892349195143,0.7568675703327337,1,0
PRJ001,G007,,งานระบบความปลอดภัย,4,2024,1928845.38,2002866,134111.12,1797277.65,94477.98,205588.35,1482642.14,113759.06,1596401.2,406464.8,200876.46,2032538.44,205588.35,-406464.8,69018.82,1933847.18,-20.294158470911185,0.8882329338485904,1,0
PRJ001,G007,,งานระบบความปลอดภัย,5,2024,4444991.15,4204154,371860.56,4430934.45,528091.27,-226780.45,3283902.04,216959.65,3500861.69,703292.31,930072.76,4395256.35,0.0,-703292.31,133904.54,4070249.46,-16.728509707303775,0.7900955722782131,0,0
PRJ001,G007,,งานระบบความปลอดภัย,6,2024,2934962.67,3144743,303840.53,3066830.31,415043.99,77912.69,2737135.23,149150.39,2886285.62,258457.38,180544.69,3576152.05,77912.69,-258457.38,140938.51,3003804.49,-8.2187123081282,0.9411298729468994,0,1
PRJ001,G007,,งานระบบความปลอดภัย,7,2024,13671435.92,13647189,-521751.82,11472783.75,794588.56,2174405.25,7764068.35,623073.69,8387142.03,5260046.97,3085641.72,9348936.81,2174405.25,-5260046.97,367722.3,13279466.7,-38.54307997053459,0.7310468159046404,1,0
PRJ001,G007,,งานระบบความปลอดภัย,8,2024,14145001.97,13553232,26395.05,13509794.52,1660245.34,43437.48,11379680.23,751605.66,12131285.89,1421946.11,1378508.64,15370746.38,43437.48,-1421946.11,337457.93,13215774.07,-10.49156474263851,0.8979622800362178,0,1
PRJ001,G007,,งานระบบความปลอดภัย,9,2024,13803523.46,15166779,763822.24,12126606.4,1414453.99,3040172.6,10629548.35,556398.93,11185947.28,3980831.72,940659.12,13405008.64,3040172.6,-3980831.72,382378.7,14784400.3,-26.24704770867961,0.9224301433581615,1,0
PRJ001,G007,,งานระบบความปลอดภัย,10,2024,2610097.67,2379430,90834.34,2514829.77,327219.44,-135399.77,2049705.33,135171.22,2184876.56,194553.44,329953.22,2539594.86,0.0,-194553.44,79064.76,2300365.24,-8.176472516527067,0.8687970001245849,0,0
PRJ001,G007,,งานระบบความปลอดภัย,11,2024,10100309.6,10343127,420252.09,10502254.39,1098464.08,-159127.39,6862838.03,619121.29,7481959.32,2861167.68,3020295.06,8266268.64,0.0,-2861167.68,196552.44,10146574.56,-27.66250167865095,0.7124145961579588,1,0
PRJ001,G007,,งานระบบความปลอดภัย,12,2024,8041361.18,7379400,480229.41,7345205.69,396571.75,34194.31,5539184.55,530470.69,6069655.24,1309744.76,1275550.45,7336984.88,34194.31,-1309744.76,194108.82,7185291.18,-17.748661950836112,0.8263424465108478,0,0
PRJ001,G001,S001,งานสำรวจและวางแนว,1,2024,2923228.66,2706044,132625.17,2472434.69,126699.32,233609.31,1774027.87,102667.24,1876695.11,829348.89,595739.58,2326281.64,233609.31,-829348.89,42631.55,2663412.45,-30.648019396580395,0.7590473946957929,1,0
PRJ001,G001,S001,งานสำรวจและวางแนว,2,2024,10458145.45,11478608,617633.8,11291708.63,797924.75,186899.37,7465141.71,461618.23,7926759.94,3551848.06,3364948.68,9862209.91,186899.37,-3551848.06,189961.11,11288646.89,-30.943195028526105,0.7019982714520326,1,0
PRJ001,G001,S001,งานสำรวจและวางแนว,3,2024,8941053.13,8371096,340998.36,7428251.92,567256.31,942844.08,4503002.66,429560.12,4932562.78,3438533.22,2495689.15,6313683.03,942844.08,-3438533.22,211422.53,8159673.47,-41.07626074291825,0.6640273960983273,1,0
PRJ001,G001,S001,งานสำรวจและวางแนว,4,2024,19012724.24,18353826,-800488.82,18132363.25,2003842.12,221462.75,13506622.92,1329606.31,14836229.23,3517596.77,3296134.02,18090054.24,221462.75,-3517596.77,314984.84,18038841.16,-19.16546866032183,0.818218178482609,0,0
PRJ001,G001,S001,งานสำรวจและวางแนว,5,2024,5612167.19,5942124,237226.11,5621566.97,585121.58,320557.03,4592065.45,388662.24,4980727.69,961396.31,640839.28,6361112.38,320557.03,-961396.31,141773.55,5800350.45,-16.179337725028965,0.8860034429154903,0,0
PRJ001,G001,S001,งานสำรวจและวางแนว,6,2024,4918658.0,5082830,-101891.31,5298664.97,341901.36,-215834.97,3798821.09,208984.54,4007805.63,1075024.37,1290859.35,4677338.23,0.0,-1075024.37,113301.91,4969528.09,-21.150114601511365,0.7563802679904105,1,0
PRJ001,G001,S001,งานสำรวจและวางแนว,7,2024,3932295.35,3578591,5140.77,3650653.08,270502.01,-72062.08,2911183.65,161780.06,3072963.71,505627.29,577689.37,3783554.47,0.0,-505627.29,64441.45,3514149.55,-14.129228235358552,0.841757253472028,0,0
PRJ001,G001,S001,งานสำรวจและวางแนว,8,2024,7642574.12,7332880,-205239.92,6052674.86,666169.32,1280205.14,4485728.86,225858.79,4711587.65,2621292.35,1341087.21,5632615.45,1280205.14,-2621292.35,132768.32,7200111.68,-35.74710550288563,0.7784306540463996,1,0
PRJ001,G001,S001,งานสำรวจและวางแนว,9,2024,12276749.02,11941033,263146.39,11693729.04,1508443.49,247303.96,10045649.51,843280.09,10888929.6,1052103.4,804799.44,13456346.66,247303.96,-1052103.4,262723.73,11678309.27,-8.810823988175896,0.9311768352723864,0,1
